NAMA PERUSAHAAN,CURRENT RATIO,DEBT RATIO ,DEBT TO EQUITY RATIO,ROA,ROE,NPM,EPS
PTPW,5.083451763,0.196716728,0.244890857,0.069289333,0.086257657,0.157875842,41
PTSN,2.211159566,0.452251396,0.82565504,0.027028147,0.049344073,0.037738227,12
PTSP,1.650508652,0.605873831,1.537258571,-0.072945865,-0.185082521,-0.07878624,-104
PUDP,2.527101772,0.395710221,0.654835204,-0.025434367,-0.042089686,-0.377261505,-39
PURA,0.245445584,4.074222819,0.099234934,0.627931732,0.015294393,0.075250906,1
PURE,1.010122222,0.989979211,98.79253753,-0.099060062,-9.88545494,-4.499647688,50
PURI,2.35643204,0.424370397,0.737228236,0.026813788,0.04658167,0.107507313,7
PWON,2.790779351,0.358322846,0.558416088,0.027898906,0.043478105,0.211178718,15
PYFA,1.411514163,0.708459062,2.430050021,0.025439565,0.087258979,0.039284324,30
PZZA,2.090233799,0.478415381,0.917234451,0.006288708,0.012056928,0.005316748,4
RAJA,1.99566218,0.501086812,1.004356719,0.004853955,0.009729058,0.016444212,0
RALS,3.776138412,0.264820801,0.360212587,0.021158212,0.028779667,0.05197621,16
RANC,1.594676496,0.627086436,1.681586555,0.019500865,0.052293257,0.01257268,17
RBMS,3.68529701,0.27134855,0.372398284,-0.034826101,-0.047795282,-1.213134055,-15
RDTX,9.864641265,0.101372161,0.112807723,0.037468109,0.041694801,0.401040444,437
REAL,217.6398864,0.004594746,0.004615955,0.002846342,0.00285948,0.084294231,0
RELI,4.743951792,0.210794722,0.267097456,0.032998132,0.041811849,0.430193973,12
RICY,1.228484863,0.814010844,4.376657541,-0.030170127,-0.162214443,-0.05079324,-79
RISE,4.705841947,0.212501825,0.269844212,0.007294591,0.009262995,0.087666501,3
RMBA,2.596843656,0.385082867,0.626235384,-0.000871807,-0.001417763,-0.001227419,0
ROCK,3.621379525,0.276137862,0.381478527,-0.00257768,-0.003561009,-0.041317322,-2
RODA,2.458987045,0.40667152,0.685407045,0.005573696,0.009393947,0.067569504,1
RONY,5.804473266,0.172280921,0.208139362,-0.076981423,-0.093004287,-1.440487697,-2
ROTI,3.260176513,0.306731858,0.44244332,0.049250011,0.071040349,0.086145802,34
RSGK,5.104155062,0.195918813,0.243655511,0.065635176,0.081627548,0.202686366,75
RUIS,1.544712368,0.647369711,1.835831272,0.010780989,0.030573065,0.01206407,18
RUNS,69.47103953,0.014394487,0.014604715,-0.070574925,-0.071605652,-1.979079181,-7
SAFE,0.815953043,1.225560721,-5.433396005,0.00049518,-0.002195331,0.001206024,0
SAME,14.81818517,0.067484647,0.072368404,0.03239789,0.034742474,0.148646102,25
SAMF,1.900320555,0.526227008,1.110715505,0.058681633,0.123860233,0.078271683,19
SANF,1.312702167,0.761787422,3.197931145,0.00913114,0.038331898,0.103765893,52
SAPX,2.796330605,0.357611506,0.556690398,0.133286057,0.207485126,0.074730483,39
SATU,1.406490479,0.710989527,2.460082219,-0.031348524,-0.108468472,-0.641389615,-6
SBAT,1.335144273,0.748982728,2.983789613,-0.061484588,-0.244941662,-0.276163477,-16
SBMA,5.681318768,0.176015471,0.21361502,0.011059441,0.013421903,0.043596145,3
SCCO,13.90086203,0.071937985,0.0775142,0.032701704,0.03523655,0.032395175,570
SCMA,3.51059254,0.284852198,0.398312344,0.155571514,0.217537568,0.247599739,84
SCNP,4.230705768,0.236367182,0.30952989,-0.038314091,-0.050173447,-0.058521288,0
SCPI,2.858706803,0.349808521,0.538008468,0.068894863,0.105960883,0.062515812,28055
SDMU,0.993774848,1.006264148,-160.6386383,-0.0505871,8.075655787,-0.146649863,-8
SDPC,1.207859245,0.827911037,4.810947911,0.007157964,0.041594557,0.004408417,10
SDRA,1.271724795,0.78633365,3.680194145,0.010792828,0.05051253,0.223071441,68
SFAN,3.15103452,0.317356092,0.464892586,0.002503714,0.003667672,0.055752345,1
SGER,1.4271582,0.700693168,2.341053033,0.07207435,0.240804227,0.033096511,46
SGRO,1.783515694,0.560690328,1.276298621,0.053385675,0.121521738,0.133439331,280
SHID,2.604044821,0.384017968,0.623423976,-0.016967461,-0.027545383,-0.458115315,-21
SHIP,2.025169558,0.493785815,0.975448395,0.067512027,0.133366526,0.254710222,76
SIDO,6.217000972,0.160849259,0.191681007,0.237067337,0.282508643,0.311729409,29
SILO,3.496543634,0.285996717,0.400553784,0.061901623,0.086696552,0.077361496,330
SIMP,2.104672075,0.4751334,0.90524602,0.021839616,0.041609841,0.056560331,36
SINI,1.244485958,0.803544623,4.090214459,0.034045753,0.173300186,0.023905536,13
SIPD,1.435935241,0.696410236,2.293918695,-0.0252523,-0.083179024,-0.017498765,-53
SKBM,2.010200818,0.497462736,0.989902188,0.000525601,0.001045894,0.000361364,1
SKLT,2.247733791,0.444892542,0.801453008,0.055986505,0.100857057,0.043702248,65
SKRN,1.593566493,0.627523234,1.684731216,0.003894896,0.010456749,0.022634294,4
