NAMA_PERUSAHAAN,LABA_PER_SAHAM,CURRENT RATIO,DEBT RATIO ,DEBT TO EQUITY RATIO,ROA,ROE,NPM
JPFA,129.0000000000,1.737628571,0.575496983,1.35569586,0.054576249,0.128565043,0.049275474
BSDE ,44.5100000000,2.434010336,0.410844599,0.697345043,0.017177621,0.029156349,0.199798975
HMSP,48.0000000000,2.277120747,0.439151064,0.783011318,0.113698514,0.202725738,0.076593322
PTPP,21.0000000000,1.338209605,0.747267092,2.956746308,0.003643831,0.014417714,0.018263198
BTPS,142.0000000000,1.606877068,0.622325142,1.647780173,0.061597306,0.163096126,0.317963684
BULL ,2.8614000000,1.740017752,0.57470678,1.351318934,0.003417283,0.008035123,0.020705363
INTP,0.0003282200,1,1,1.218419609,0.046017445,0.056068557,0.11389363
AALI,763.3400000000,3.257954193,0.306941087,0.442878781,0.052000957,0.075031078,0.085715377
KIOS,3.0500000000,40.26780251,0.024833737,0.025466156,0.034618591,0.035500193,0.007882508
KLBF,48.8100000000,5.67639236,0.176168231,0.213840055,0.095781606,0.116263549,0.12169998
ISAT,1067.4100000000,1.368749357,0.730593951,2.711869137,0.08398688,0.311748308,0.254438737
BFIN ,53.0000000000,1.964355836,0.509072736,1.036961631,0.054353522,0.110716038,0.266894843
SCMA,84.1300000000,3.51059254,0.284852198,0.398312344,0.155571514,0.217537568,0.247599739
MNCN,127.2000000000,5.963190447,0.167695466,0.201483302,0.089901076,0.108014642,0.255970226
ELSA,5.1500000000,2.107845644,0.47441804,0.902652825,0.005315528,0.010113604,0.006566213
ADHI,4.7796874333,1.159206075,0.862659385,6.281167343,0.000564551,0.004110592,0.003130355
ISSP,63.0600000000,2.226318954,0.449171938,0.815448539,0.064876193,0.117779389,0.116796296
ASSA,22.5500000000,1.587040527,0.630103632,1.703459904,0.011788288,0.031869163,0.019972208
DMMX,3.1600000000,9.007639882,0.111016872,0.124880741,0.217594582,0.244767955,0.316399167
LPKR,-8.1000000000,1.562929446,0.639824147,1.776421552,-0.009219514,-0.025597258,-0.054074422
CPIN,163.0000000000,3.288901093,0.304052926,0.436890874,0.077027852,0.110680617,0.071158481
ERAA,45.0000000000,2.250187915,0.444407328,0.799879752,0.071819613,0.129266668,0.025634272
CMNT,0.0000380000,0.258030724,3.875507483,3.407399692,0.100456927,0.088323117,0.064449928
ESSA,8.0119200000,1.558691444,0.641563796,1.78989675,0.009518417,0.0265554,0.032121855
POLL,8.6400000000,1.309090469,0.763889146,3.235298722,0.022372714,0.094755129,0.257863967
JSMR,103.2600000000,1.315866243,0.759955661,3.16589703,0.002100677,0.008751205,0.020809033
OPMS,0.4400000000,121.0883962,0.00825843,0.008327199,-0.005040269,-0.00508224,-0.014534357
DSNG,39.2300000000,1.876822592,0.532815411,1.140481562,0.030374442,0.065015933,0.08396543
ACES,18.8700000000,2.896263471,0.345272455,0.762996889,0.029331914,0.064818837,0.068982155
BRMS ,1.1445608000,7.09514897,0.140941368,0.164064899,0.008816671,0.010263177,0.748725583
GGRM,2149.0000000000,3.260786279,0.306674499,0.442323987,0.049663717,0.07163117,0.044906458
AMRT,26.6600000000,0.743985169,1.344112815,2.189101023,0.083399715,0.135829671,0.018029607
NICL,3.3900000000,7.556761152,0.132331826,0.152514325,0.061311981,0.070662937,0.103738111
SAME,24.5900000000,14.81818517,0.067484647,0.072368404,0.03239789,0.034742474,0.148646102
KAEF,53.0600000000,1.623889781,0.615805341,1.602847219,0.015637433,0.040701849,0.031041214
BHIT ,4.8719933540,2.372242528,0.421542059,0.728734156,0.027544538,0.047617184,0.142056731
ASPI,-0.1400000000,3.451387823,0.28973852,0.407932189,-0.001054646,-0.00148487,-0.017870016
BDMN ,144.1600000000,1.311840483,0.762287803,3.206767738,0.007800577,0.032815218,0.090940552
BYAN,0.2000000000,3.147495078,0.317712967,0.465658809,0.363809648,0.533220815,0.388850222
BOLA,19.0600000000,9.1928755,0.108779892,0.122057268,0.172315681,0.193348062,1.326608888
MARI,-2.0100000000,2.655202664,0.376619086,0.604155625,-0.047541187,-0.076263463,-0.324644128
AGII,56.6800000000,1.789375885,0.558854072,1.2668236,0.022217102,0.05036225,0.08621347
MAPI,-5.0000000000,16.18293613,0.061793484,0.161581474,-0.003544769,-0.009269083,-0.004952292
ZBRA,25.3700000000,1.760126363,0.568141027,1.315570737,0.009847197,0.022801881,0.011659546
REAL,0.1500000000,217.6398864,0.004594746,0.004615955,0.002846342,0.00285948,0.084294231
WOOD,74.6000000000,2.128705507,0.469769067,0.885970692,0.054870047,0.103483301,0.101105644
LPPF,168.0000000000,1.224460773,0.816686024,4.45512143,0.075955806,0.414348146,0.107397163
TPIA,108.7332000000,2.771935279,0.360758784,0.564354698,0.036085309,0.056450223,0.088073664
RUNS,-6.6100000000,69.47103953,0.014394487,0.014604715,-0.070574925,-0.071605652,-1.979079181
SMMT,38.2500000000,3.470208304,0.288167139,0.404824159,0.131622305,0.184906194,0.392882804
MLIA,324.7500000000,2.095035345,0.477318916,0.913212532,0.07224122,0.138212807,0.134700291
MBSS,34.3368000000,8.959106808,0.11161827,0.125642239,0.025295469,0.028473648,0.085540308
IPTV,6.1700000000,3.191331482,0.313348834,0.456343556,0.022007861,0.032051006,0.087794144
BIPI,3.7055130000,1.704737316,0.58660064,1.418968426,0.01909009,0.046178326,0.419510802
SSMS,107.9200000000,1.727738811,0.578791189,1.374119375,0.077212029,0.183310574,0.280350057
FIRE,12.6900000000,3.131374942,0.319348535,0.469180706,0.034186269,0.050225807,0.026574509
MSIN,18.8400000000,4.812762375,0.20778088,0.262277032,0.065431429,0.08259259,0.161618356
PUDP,-38.8900000000,2.527101772,0.395710221,0.654835204,-0.025434367,-0.042089686,-0.377261505
TRIM,6.5300000000,1.381013365,0.724105954,2.62457985,0.01472063,0.0533561,0.155618361
