NAMA_PERUSAHAAN','LABA_PER_SAHAM','CURRENT_RATIO','DEBT_RATIO','DEBT_TO_EQUITY_RATIO,ROA,ROE,NPM
LINK,250.0000000000,2.182390958,0.458213042,0.84574395,0.07395905,0.136509469,0.211901956
LPKR,-8.1000000000,1.562929446,0.639824147,1.776421552,-0.009219514,-0.025597258,-0.054074422
LPPF,168.0000000000,1.224460773,0.816686024,4.45512143,0.075955806,0.414348146,0.107397163
LSIP,110.0000000000,6.353150754,0.157402215,0.186805873,0.063916405,0.075856365,0.22510791
MAPI,-5.0000000000,16.18293613,0.061793484,0.161581474,-0.003544769,-0.009269083,-0.004952292
MCOR,1.8300000000,1.302696442,0.767638544,3.303639762,0.002660243,0.011448726,0.068944368
MDKA,12.8763000000,2.831356894,0.353187548,0.546043212,0.015829532,0.024473141,0.070923432
MEDC,5.1505200000,1.305240477,0.766142345,3.276105483,0.013315663,0.056939177,0.073542421
MIKA,62.0000000000,7.436479079,0.13447224,0.155364445,0.150618453,0.174019205,0.296454539
MNCN,127.2000000000,5.963190447,0.167695466,0.201483302,0.089901076,0.108014642,0.255970226
MPMX,75.0000000000,2.77914476,0.359822926,0.562067811,0.033295527,0.052009871,0.033715336
MYOR,44.0000000000,2.221125241,0.450222248,0.81891682,0.049937233,0.090831673,0.0505472
PGAS,143.0700000000,0.516962884,1.934374846,1.292216574,0.150124799,0.10028757,0.146376
PNBN,93.7300000000,1.31691062,0.759352977,3.155463833,0.011474503,0.047681882,0.174304297
PNLF,41.5400000000,7.081217329,0.141218657,0.16449096,0.043933334,0.051173382,0.433266696
POWR,60.0894000000,2.039220098,0.490383555,0.962260066,0.048434005,0.095040113,0.172389552
PSAB,-8.5842000000,1.705285273,0.586412148,1.417865988,-0.005454959,-0.01318936,-0.026468971
PTBA,426.0000000000,2.882596512,0.34690946,0.531181267,0.150767696,0.230852671,0.250409108
PTPP,21.0000000000,1.338209605,0.747267092,2.956746308,0.003643831,0.014417714,0.018263198
PWON,14.9912884248,2.790779351,0.358322846,0.558416088,0.027898906,0.043478105,0.211178718
RAJA,0.4292100000,1.99566218,0.501086812,1.004356719,0.004853955,0.009729058,0.016444212
RALS,15.6200000000,3.776138412,0.264820801,0.360212587,0.021158212,0.028779667,0.05197621
SCMA,84.1300000000,3.51059254,0.284852198,0.398312344,0.155571514,0.217537568,0.247599739
SIDO,29.0726083875,6.217000972,0.160849259,0.191681007,0.237067337,0.282508643,0.311729409
SMBR,2.0000000000,2.424315186,0.412487619,0.702091791,0.002857983,0.004864549,0.013697687
SMGR,234.0000000000,2.041688566,0.489790665,0.959979818,0.018845661,0.036937115,0.056996633
SMRA,11.2000000000,1.719343078,0.581617487,1.390157257,0.009206327,0.022004568,0.061813519
