NAMA_PERUSAHAAN,JUMLAH_ASET,JUMLAH_LIABILITAS,JUMLAH_EKUITAS,PENDAPATAN,LABA_BRUTO,LABA_SEBELUM_PAJAK,LABA_SETELAH_PAJAK,ARUS_KAS_DARI_AKTIVITAS_OPERASI,ARUS_KAS_DARI_AKTIVITAS_INVESTASI,ARUS_KAS_DARI_AKTIVITAS_PENDANAAN,KAS_DAN_SETARA_KAS_PADA_AKHIR_PERIODE,LABA_PER_SAHAM,,,
APLI,423274656495,204998332154,218276324341,295925054152,45200443877,17095673725,12004289875,19786070179,-5015358267,-7736078524,47781555361,8.8100000000,,,
APLN,30409813235000,19505042521000,10904770714000,2906135318000,1015310517000,-197153068000,-311820586000,310725162000,-165363012000,6120845000,994912401000,-20.4800000000,,,
ARCI,9758788161108,6699310078149,3059478082959,3383784866859,1465465266036,1278845716605,820283089116,1633431377481,-1477053320835,-421307714541,305982149388,32.9061000000,,,
ARGO,1135045855524,2511700428467,-1376654572943,48698517537,-10155866039,-59182678180,-59182678180,-4992443810,586802975,4569000482,526568849,-143.2100000000,,,
ARII,5524018542000,4968019908000,555998634000,985695072000,190011267000,14507298000,15065271000,33564222000,-55282248000,40131135000,25852749000,55.7973000000,,,
ARKA,458770526483,366471297741,92299228742,49519687408,5688455284,743027746,743027746,1630700837,-6357000,-1020000000,1244636410,0.3700000000,,,
ARMY,1713252287556,237048091034,1476204196522,41338379339,17639608999,3348204105,3348204105,20585702922,-2313698162,-25179211133,5786036903,0.4500000000,,,
ARNA,2189771257664,740939130082,1448832127582,1885434087334,677004917115,449833136155,351268701253,365238853517,-98196907610,-191352413298,511571322889,47.3300000000,,,
ARTA,376650963361,43813152480,332837810881,18776343161,12905038939,-8842467135,-9416444500,-11249631157,-301291675,-252000000,65578455122,-8.0000000000,,,
ARTI,802578255457,1009869297273,-207291041816,3131863540,-29044879166,-58105947836,-51509519045,-9156085602,-1983763149,6477308972,1114680394,-6.5700000000,,,
ARTO,10978255000000,2845504000000,8132751000000,385097000000,-32605000000,-32605000000,-32605000000,-3158528000000,-1735944000000,6925529000000,2478563000000,-2.4900000000,,,
ASBI,864667666347,557802037347,306865629000,484687300000,-6938945000,-6938945000,-3314218000,-21971292000,15206910000,-3853578000,16158556000,-9.5170959797,,,
ASDF,32928000000000,25365000000000,7563000000000,4169000000000,1007000000000,1007000000000,767000000000,-512000000000,-33000000000,324000000000,521000000000,807.0000000000,,,
ASDM,985365638000,642301778000,343063860000,1239622379000,13272425000,13272425000,9529786000,22287639000,-1679819000,-20900779000,13369583000,50.0000000000,,,
ASGR,2359433000000,771228000000,1588205000000,1999198000000,373452000000,48046000000,36994000000,165210000000,-4670000000,-16647000000,623836000000,27.4300000000,,,
ASII,362219000000,152663000000,209556000000,167402000000,36254000000,23683000000,19018000000,29563000000,-4226000000,-12503000000,60538000000,370.0000000000,,,
ASJT,534699022909,225638497273,309060525636,189011762994,1236675841,1236675841,964607341,5088882376,-104236704294,98240490000,10218012106,0.7000000000,,,
ASMI,957076892751,468755794494,486798951555,472605563636,41888266807,41888266807,43385700347,-17760421778,17665989347,-971525000,26687309294,5.2700000000,,,
ASPI,103489981245,29985034010,73504947235,6107732728,2159203643,-109145282,-109145282,-5399641326,0,1460549908,10403251433,-0.1400000000,,,
ASRI,21701107205000,12459144599000,9241962606000,1771855098000,916636692000,-133268630000,-142552215000,1020990669000,-204961870000,-609799891000,837332741000,-7.0700000000,,,
ASRM,1694735590370,1150141825173,544593765197,1481721984644,64563792265,64563792265,55278929413,54809779207,-43422893428,-18366896125,71191772556,181.6600000000,,,
ASSA,5888311145825,3710246238505,2178064907320,3475484705248,674805177785,89880580035,69413104984,343365361924,-92176131872,74971327054,519293852689,22.5500000000,,,
ATAP,97076392665,18894742163,78181650502,47878956820,14252420224,7274911904,5447357536,8565227488,305696577,-5480057879,6541609181,4.3600000000,,,
ATIC,4110885345813,3790423271704,320462074109,4245085829881,713684848984,7310099086,-48530783831,-8071702893,141560723432,-189963787951,433152317729,-32.2100000000,,,
AUTO,16652046000000,5046600000000,11605446000000,11040522000000,1389428000000,580444000000,456878000000,809763000000,-100968000000,-334291000000,1887994000000,92.0000000000,,,
AYLS,52782015653,3056664726,49725350927,1804334102,177209102,2685339282,2685339282,4829802400,10500000000,-14733790815,925213204,3.1500000000,,,
BABP,13553398000000,11653339000000,1900059000000,858008000000,7548000000,7548000000,5767000000,369078000000,-109670000000,352903000000,2050391000000,0.2300000000,,,
BACA,22117070000000,20451349000000,1665721000000,1428017000000,26862000000,26862000000,20952000000,2014397000000,-19324000000,675000000,5628311000000,2.9600000000,,,
BAJA,861070499249,613156116875,247914382374,1179980479410,186889543545,159581477796,122103181063,40355256956,1553921664,-25733087968,102177191057,67.8351005906,,,
BALI,4903373909641,2601244553565,2302129356076,694501936462,694501936462,153427891582,133969952729,398125849990,-403722029484,-58375850130,40892385585,34.0500000000,,,
BANK,1182382000000,81358000000,1101024000000,29444000000,-60725000000,-60725000000,-60725000000,-68759000000,-465938000000,515672000000,36630000000,-6.8199078662,,,
BAPA,140010779908,8557616528,131453163380,3487031528,2026628876,-2831386189,-2831386189,-511471664,0,-292384595,799867715,-4.1600000000,,,
BAPI,624449241640,200037726396,424411515244,4019713724,1268056825,-4220954341,-4321447184,-952322549,0,0,170531317,-0.7700000000,,,
BATA,652519285000,252563123000,399956162000,306410732000,120721941000,-65002084000,-78254327000,-11637248000,-10539128000,-28508378000,7882981000,-60.2000000000,,,
BAYU,689424407339,288704883348,400719523991,264762621874,20965586658,-15886704461,-15672346227,-32405683895,9822437378,-514275301,480024174146,-44.0400000000,,,
BBCA,1169296138000000,971349167000000,197946971000000,65207987000000,28640926000000,28640926000000,23211713000000,107221145000000,-32688137000000,-11287039000000,169601773000000,941.0000000000,,,
BBHI,6898586665488,5611493083472,1287093582016,88672326971,88638085602,88638085602,85731840011,-654559018240,-740450569,748446752515,199688540297,18.8658260693,,,
BBKP,89271991000000,81181141000000,8090850000000,4535176000000,-444965000000,-444965000000,-361097000000,15362951000000,-5336171000000,-2451408000000,14312175000000,-11.0494666679,,,
BBLD,3643846000000,2418860000000,1224986000000,408311000000,14015000000,14015000000,12306000000,369921000000,-507000000,-516537000000,270797000000,7.4800000000,,,
BBMD,16191295316102,12036069609522,4155225706580,992180172337,446790670692,446790670692,348496723140,1513201377150,-1012735518197,155272425,1175078963561,86.5400000000,,,
BBNI ,919447781000000,797179195000000,122268586000000,53312776000000,9636624000000,9636624000000,7772382000000,46594173000000,-7578660000000,10922699000000,139992951000000,416.0000000000,,,
BBRI ,1619772281000000,1339489509000000,280282772000000,110066731000000,25309025000000,25309025000000,19070031000000,15235576000000,-37724497000000,17773575000000,162560289000000,154.0000000000,,,
BBRM,478036686381,370944628044,107092058337,76377805044,15605918223,4660347873,3810984204,8087704179,7697981499,0,76993463868,0.7153500000,,,
BBSI ,1589020169863,521619662927,1067400506936,94684356132,60689784824,60689784824,47279569372,198799008085,-2523955139,0,358328118919,20.0000000000,,,
BBSS,254874351814,4036401932,250837949882,6774592074,1382168184,-704162175,-817116720,3476369079,0,563204000,4766590079,-0.1700000000,,,
BBTN ,368055555000000,347480225000000,20575330000000,20365010000000,2049130000000,2049130000000,1515396000000,5293855000000,2887692000000,-8196783000000,34622319000000,143.0000000000,,,
BBYB ,8086561993486,6980307024112,1106254969374,560699015293,-264749693653,-264749693653,-264743766342,597609340988,-105620910763,299185249591,1140251533966,-44.9700000000,,,
BCAP ,21580083000000,15882041000000,5698042000000,1920821000000,1920821000000,26746000000,26150000000,990362000000,12502000000,-203855000000,2544891000000,0.5500000000,,,
BCIC ,17973075000000,16538648000000,1434427000000,778755000000,-337943000000,-337943000000,-337943000000,-378245000000,525850000000,321975000000,2494235000000,-33.7533000000,,,
BCIP,955772165267,508344219099,447427946168,36560438369,21664005526,3145673802,835937429,48589510303,-25691333163,-17034803768,14424259753,0.4800000000,,,
BDKI ,59292782000000,49792347000000,9500435000000,3381232000000,742109000000,742109000000,563830000000,-2805783000000,-5597484000000,-2543125000000,9722157000000,127.2420000000,,,
BDMN ,188280419000000,143523867000000,44756552000000,16150067000000,2131090000000,2131090000000,1468696000000,9716789000000,-6705857000000,-6159959000000,13559046000000,144.1600000000,,,
BEBS,814844246871,168067869894,646776376977,334658923103,102388350158,96173622362,75006911494,166350818505,-351970750617,185968428613,583241081,9.0000000000,,,
BEEF,667323688250,762955166683,-95631478433,123287423544,17309347543,130968957235,103236104102,19267913214,19267913214,135322615305,1185451341,-55.0000000000,,,
BEKS ,7217189000000,5821464000000,1395725000000,234335000000,-186445000000,-186445000000,-145702000000,-1055215000000,17007000000,0,1590714000000,-332.0000000000,,,
BELL,532685831547,272529270492,260156561055,293657808281,84126209097,6908373038,4779489957,10044518274,-4632756074,-33194036676,25359075587,0.3872035964,,,
BESS,635259994234,239038508881,396221485353,280857110894,109204028798,82574853188,78925072442,89344334877,-1338594576,-56139865779,76452767595,20.4800000000,,,
BEST,6067591117739,1796164316790,4271426800949,117613270776,50397288861,-88389507485,-90765089457,-68989219266,-48327717642,-115127999998,565233867029,-9.4000000000,,,
BEXI ,89155877000000,64116429000000,25039448000000,3395307000000,337553000000,337553000000,315917000000,5429966000000,-20700000000,-3379862000000,15599415000000,321.3570000000,,,
BFIN ,14645086000000,7455414000000,7189672000000,2982493000000,999688000000,999688000000,796012000000,916590000000,-67904000000,-1438195000000,825182000000,53.0000000000,,,
BGTG ,7676187000000,6536786000000,1139401000000,264951000000,7557000000,7557000000,6121000000,2792318000000,507997000000,-6590000000,4264924000000,0.5500000000,,,
BHAT ,705349598515,173421643824,531927954691,85033580677,6326036583,6326036583,6326036583,-2687116925,7928183188,0,8151343549,1.2500000000,,,
BHIT ,63955910000000,26960106000000,36995804000000,12400933000000,5812611000000,2228460000000,1761636000000,3907526000000,-2464474000000,-251402000000,3149275000000,4.8719933540,,,
BIIF ,6107538000000,3230373000000,2877165000000,768669000000,348080000000,348080000000,267401000000,1076204000000,1134000000,-1084903000000,54915000000,8.2610000000,,,
BIKA ,3103498721642,3348940731747,-245442010105,339029106182,219531513026,99504821993,99504821993,90519121252,-1391679748,-95246743480,84008807933,14.8000000000,,,
BIMA,218259657090,211887774108,6371882982,27827761425,-7022067627,-28975598280,-22601863294,-4889708133,453904898,1987974120,427945393,-40.0000000000,,,
BINA ,11889656000000,10692490000000,1197166000000,577830000000,39135000000,39135000000,29236000000,3292454000000,-50446000000,-9544000000,5324583000000,5.1700000000,,,
BIPI,13914929856054,8162506754730,5752423101324,633207217920,633207217920,336235145001,265637267808,174321981888,768714580641,-923162322540,77884818582,3.7055130000,,,
BIPP,2066071629409,920313037306,1145758592103,261530530148,78745454882,20025662615,10782478756,74305602206,-40620629043,-9502931597,302319358394,-0.5000000000,,,
BIRD,6624029000000,1545400000000,5078629000000,1449849000000,275899000000,-92746000000,-66325000000,127088000000,208093000000,-394103000000,739928000000,-26.0000000000,,,
BISI,3114115000000,544454000000,2569661000000,1483369000000,646346000000,282408000000,226108000000,483689000000,-33273000000,-114000000000,939397000000,75.0000000000,,,
BJBR ,159257242000000,146861684000000,12395558000000,10962234000000,1812740000000,1812740000000,1412670000000,2413443000000,-144259000000,-152175000000,20589155000000,144.2200000000,,,
BJTG ,75971017323000,67330795365000,8640221958000,6683421355000,1589451673000,1589451673000,1239772305000,2610719251000,-570171785000,-578873406000,10357855135000,327.0000000000,,,
BJTM ,101002784000000,88834447000000,10555646000000,5257113000000,1532069000000,1532069000000,1185397000000,23377995000000,-15164235000000,-690906000000,20816743000000,78.9400000000,,,
BKDP,778592062861,328281076597,450310986264,12399596268,-6023639602,-29756553045,-31019923669,-9854666822,-7576876892,11375044980,22032756112,-4.1300000000,,,
BKSL,17061620490834,6486354307476,10575266183358,2621846431537,707152527432,300172801438,300035029518,1385872770770,-5087385091,-1148513194596,379528109893,4.6700000000,,,
BKSW ,16851777000000,13353434000000,3498343000000,771035000000,-15896000000,-15896000000,-12399000000,71004000000,-218712000000,-60000000000,2163245000000,36.4500000000,,,
BLTA,979589960346,515715315441,463874644905,192990785592,53167458795,66966216927,64653290079,46708048593,9387237603,-20456592117,49225322322,2.4321900000,,,
BLTZ,2298757283000,1736237838000,562519445000,104559992000,-55087616000,-290070227000,-233836325000,-105827806000,-1830561000,81573532000,30120754000,-268.0000000000,,,
BLUE,89965360959,10016819085,79948541874,76263899146,29128100539,11501400295,11501400295,6697498377,17024190,-15884000000,5243511970,23.0000000000,,,
BMAS ,13883954913000,12586568513000,1297386400000,701499115000,64016464000,64016464000,49671740000,2344101074000,-1724075127000,-33325961000,1762157742000,11.1800000000,,,
BMHS,2533344346327,862199843534,1671144502793,1322960254964,648967400923,362711105813,283051710168,132304499164,-99838635767,22542022817,679994442455,22.0000000000,,,
BMRI ,1637950171000000,1425125470000000,212824701000000,105878200000000,27410508000000,27410508000000,21053546000000,113392557000000,-122604922000000,1655425000000,166583596000000,412.3600000000,,,
BMSR ,842211067879,668729707689,173481360190,2237385690179,191173316511,57373162149,43911638850,184469105496,3068500615,-34669786618,262050085670,37.8800000000,,,
BMTR,34838274000000,10967859000000,23870415000000,10478741000000,4853318000000,2394766000000,1908315000000,3462135000000,-1866558000000,-830888000000,1669625000000,59.3000000000,,,
BNBA ,7251693959641,5635262395004,1616431564637,418595154536,48977712481,48977712481,34987896602,-119000219244,-3301984798,-10848706000,657812442973,15.1500000000,,,
BNBR ,15116804000000,13850348000000,1266456000000,1569735000000,299294000000,-29940000000,-45122000000,-5432000000,-3162000000,29202000000,92919000000,-23.9500000000,,,
BNGA ,295395955000000,252854990000000,42540965000000,17952201000000,4098261000000,4098261000000,3149201000000,14487210000000,-9723112000000,-1439655000000,31799797000000,126.3800000000,,,
BNII ,153974476000000,125982771000000,27991705000000,9686006000000,1484589000000,1484589000000,1086116000000,-9968119000000,8001822000000,-3684772000000,19064989000000,13.9400000000,,,
BNLI ,218866990000000,182821097000000,36045893000000,10543541000000,1123038000000,1123038000000,831376000000,27679819000000,-15746977000000,-3079000000,37937703000000,28.0000000000,,,
BOGA ,793030720398,346608996727,446421723671,414866513313,47484474923,13936648314,9267144214,10584831492,147596734883,204783049544,436848166846,2.4500000000,,,
BOLA,671493739204,73045016134,598448723070,87221563123,85894484411,115708900868,115708900868,-72472652019,77253733074,11697016579,192707279431,19.0600000000,,,
BOLT ,1274099224910,530732304119,743366920791,837811401209,144493214631,58397413762,43332829429,49038816790,-78962214144,29974980189,6437259465,15.6800000000,,,
BOSS,550257862701,572051679032,-21793816331,14722844186,-26704572318,-109168905400,-109168905400,-56997425610,114887578441,-57757970322,1931785219,-77.9800000000,,,
BPFI ,1314597683297,414750632668,899847050629,218047454726,34678878872,34678878872,26656585942,208109199190,-1959587994,-191856615032,74882891177,14.9500000000,,,
BPII ,2642620089422,1273883300931,1368736788491,697117438000,697117438000,123660263335,92905775148,419129300340,21800516540,-416812670569,163477317035,124.6400000000,,,
BPTR ,678064218843,444730616440,233333602403,148775271321,58063379742,12562538397,8132593687,58619734763,-14854896784,-36392603694,8390781568,5.2500000000,,,
BRAM ,3983841944953,975026136568,3008815808385,2691405205838,523958488032,371719468840,284125529773,130235267022,-37484194516,-182377536949,67086871828,600.6153061316,,,
BRIS ,251051724000000,226929645000000,24122079000000,171893546000000,3102434000000,3102434000000,2257285000000,10095414000000,-13704910000000,-640466000000,24332985000000,54.8800000000,,,
BRMS ,10006427392550,1410319562615,8596107829935,117831389799,80956187471,474678392683,88223375972,20852524303,-1602996186704,1746732592774,194701924424,1.1445608000,,,
BRNA ,1774996101000,1085786732000,689209369000,785494113000,5428181000,-134946130000,-85730108000,12913725000,6484119000,-45068778000,7314895000,-84.0000000000,,,
BRPT ,126397666611000,65839497756000,60558168855000,33098099940000,9126506835000,5782245585000,3870472710000,796856979000,-3125650290000,15077017047000,28991103906000,15.2766667308,,,
BSDE ,60101632498211,24692431091351,35409201406860,5167208891417,3312885984202,1037496378216,1032403038109,3140693220946,123566283387,-6197200550681,7662232183098,44.5100000000,,,
BSIM ,46796049000000,39477449000000,7318600000000,3142574000000,129496000000,129496000000,104892000000,2833672000000,-65192000000,1344458000000,10553070000000,5.6200000000,,,
BSSR ,4866132035220,1788810304782,3077321730438,6202247471037,2732791200846,1911485919501,1484489670225,2317869072387,-173597675706,-1121704538886,1385858385399,567.9879000000,,,
BSWD ,3311380409355,2245206262963,1066174146392,147170326502,10903290950,10903290950,8504566941,-287053367009,210495163401,0,385515587995,6.0000000000,,,
BTEK ,4198011331516,2644344580349,1553666751167,121470370865,-7408052680,-115683763936,-115683763936,1923482743,-39441069,-297574595,5581792313,-2.5000000000,,,
