LABA PER SAHAM,CURRENT RATIO,DEBT RATIO ,DEBT TO EQUITY RATIO,ROA,ROE,NPM
71.18,2.570112463,0.389088032,0.636897053,0.051363861,0.084077352,0.064603534
15.7377,1.590837473,0.628599726,1.692512823,0.008499628,0.022885358,0.071313543
10.81,1.522427232,0.656845844,1.914142179,0.021483698,0.062606549,0.080732527
16,3.060553703,0.326738263,0.485306449,0.035199101,0.052281452,0.095245079
8.81,2.064771221,0.484315158,0.939168885,0.028360521,0.05499584,0.040565304
-20.48,1.559074439,0.641406192,1.788670577,-0.010253946,-0.028594878,-0.107297339
32.9061,1.456685546,0.686489958,2.189690495,0.084055835,0.268112098,0.242415851
-143.21,0.451903357,2.212862517,-1.824495758,-0.052141222,0.042990217,-1.21528706
55.7973,1.111915541,0.899348883,8.935309557,0.00272723,0.027095878,0.015283906
0.37,1.251859366,0.798811773,3.970469772,0.001619607,0.008050205,0.015004694
0.45,7.227446043,0.138361462,0.160579472,0.001954297,0.002268117,0.08099505
47.33,2.955399666,0.338363712,0.511404404,0.160413422,0.242449553,0.18630654
-8,8.596755587,0.116322953,0.131635142,-0.025000452,-0.028291391,-0.501505773
-6.57,0.794734782,1.258281408,-4.871745968,-0.064180058,0.248488881,-16.44692318
-2.49,3.858105629,0.259194562,0.3498821,-0.002969962,-0.004009099,-0.08466698
-9.51709598,1.550133575,0.645105697,1.817740355,-0.003832939,-0.010800226,-0.006837848
807,1.298166765,0.770317055,3.353827846,0.023293246,0.101414782,0.183976973
50,1.534116317,0.651841056,1.872251359,0.00967132,0.027778461,0.007687652
27.43,3.059319682,0.326870057,0.485597262,0.015679191,0.023292963,0.01850442
370,2.372670523,0.421466019,0.728506938,0.052504148,0.090753784,0.113606767
0.7,2.369715405,0.421991602,0.730078669,0.001804019,0.003121095,0.005103425
5.27,2.041738799,0.489778614,0.962935095,0.045331468,0.089124474,0.091801078
-0.14,3.451387823,0.28973852,0.407932189,-0.001054646,-0.00148487,-0.017870016
-7.07,1.741781471,0.574124835,1.348105931,-0.006568891,-0.015424453,-0.080453653
181.66,1.473501401,0.678655615,2.111926171,0.032618026,0.101504888,0.037307221
22.55,1.587040527,0.630103632,1.703459904,0.011788288,0.031869163,0.019972208
4.36,5.137746354,0.194637869,0.241677453,0.056114132,0.069675653,0.113773522
-32.21,1.084545195,0.922045485,11.82799332,-0.011805434,-0.151440023,-0.011432227
92,3.299656402,0.303061858,0.434847571,0.027436749,0.039367552,0.04138192
3.15,17.26784596,0.057911103,0.061470953,0.050876028,0.054003425,1.488271645
0.23,1.163048462,0.8598094,6.133145865,0.000425502,0.003035169,0.006721383
2.96,1.081447977,0.924686181,12.27777581,0.000947323,0.012578337,0.014672094
67.83510059,1.404325058,0.712085848,2.473257546,0.14180393,0.492521571,0.103478984
34.05,1.885010736,0.530500957,1.129929796,0.027321994,0.058193929,0.192900762
-6.819907866,14.53307603,0.068808558,0.07389303,-0.051358191,-0.055153203,-2.062389621
-4.16,16.36095512,0.061121126,0.065100119,-0.02022263,-0.021539126,-0.811976079
-0.77,3.121657364,0.320342652,0.471329639,-0.006920414,-0.01018221,-1.07506342
-60.2,2.583588915,0.387058481,0.631477014,-0.119926459,-0.195657261,-0.255390294
-44.04,2.387990114,0.418762203,0.720466227,-0.022732509,-0.039110513,-0.059193953
941,1.203785598,0.830712713,4.907118114,0.019851013,0.117262279,0.355964262
18.86582607,1.229367401,0.813426482,4.359817469,0.01242745,0.066608863,0.96683873
-11.04946667,1.099664157,0.90936855,10.03369745,-0.004044908,-0.044630292,-0.079621386
7.48,1.506431129,0.66382059,1.974602159,0.003377201,0.010045829,0.030138791
86.54,1.345231113,0.74336669,2.896610307,0.021523709,0.083869505,0.351243386
416,1.153376539,0.867019543,6.519901972,0.008453315,0.063568102,0.145788357
154,1.209245963,0.82696162,4.779064726,0.011773279,0.068038541,0.173258812
0.71535,1.288700928,0.775975231,3.463792122,0.007972158,0.035586058,0.049896488
20,3.046319537,0.328264973,0.488682233,0.029753914,0.044294123,0.499338764
-0.17,63.14394753,0.015836831,0.016091672,-0.003205959,-0.003257548,-0.120614896
143,1.059212952,0.944097217,16.88819693,0.004117302,0.073651115,0.074411748
-44.97,1.15848228,0.863198357,6.309853711,-0.03273873,-0.239315324,-0.472167347
0.55,1.358772654,0.735958291,2.787280438,0.001211765,0.004589296,0.01361397
-33.7533,1.086731817,0.920190229,11.52979413,-0.018802737,-0.235594422,-0.433952912
0.48,1.880167275,0.53186757,1.136147671,0.00087462,0.001868317,0.022864535
127.242,1.190801108,0.8397708,5.241059699,0.009509252,0.059347809,0.166752829
144.16,1.311840483,0.762287803,3.206767738,0.007800577,0.032815218,0.090940552
9,4.84830472,0.206257663,0.259854682,0.092050612,0.115970394,0.224129423
-55,0.87465649,1.143305985,-7.978075621,0.154701693,-1.07952011,0.837361193
-332,1.239754983,0.806610995,4.170924788,-0.020188192,-0.104391624,-0.621767982
0.387203596,1.954600438,0.511613515,1.047558706,0.008972437,0.018371591,0.016275712
20.48,2.657563408,0.376284531,0.603295171,0.124240584,0.199194328,0.281015041
-9.4,3.378082429,0.296025932,0.420506871,-0.014958999,-0.021249361,-0.771724899
321.357,1.39053092,0.719149776,2.560616712,0.003543423,0.012616772,0.093045194
53,1.964355836,0.509072736,1.036961631,0.054353522,0.110716038,0.266894843
0.55,1.174305997,0.8515668,5.737037268,0.000797401,0.005372121,0.023102385
1.25,4.067252408,0.245866226,0.326024685,0.008968654,0.011892657,0.074394569
4.871993354,2.372242528,0.421542059,0.728734156,0.027544538,0.047617184,0.142056731
8.261,1.890660305,0.528915743,1.122762511,0.043782126,0.092939056,0.347875353
14.8,0.926710554,1.079085584,-13.64452944,0.032062144,-0.40541072,0.293499349
-40,1.030071971,0.970805952,33.25355703,-0.103554929,-3.547124666,-0.812205587
5.17,1.111963256,0.899310291,8.931501563,0.002458944,0.024421008,0.050596196
3.705513,1.704737316,0.58660064,1.418968426,0.01909009,0.046178326,0.419510802
-0.5,2.244966164,0.445441012,0.803234681,0.005218831,0.009410777,0.041228375
-26,4.286287693,0.233302119,0.304294722,-0.010012788,-0.013059627,-0.045746143
75,5.719702675,0.174834263,0.211877754,0.072607466,0.087991373,0.152428694
144.22,1.084402941,0.922166441,11.84792843,0.008870366,0.113965825,0.128866981
327,1.128324965,0.886269498,7.792715939,0.016319017,0.143488479,0.185499647
78.94,1.136977686,0.879524737,8.415822869,0.01173628,0.112299806,0.225484406
-4.13,2.371723862,0.421634245,0.729009699,-0.039841048,-0.068885558,-2.5016882
4.67,2.63038676,0.38017223,0.613351399,0.017585377,0.028371393,0.114436538
36.45,1.261980776,0.792405098,3.817073969,-0.000735768,-0.003544249,-0.016080982
2.43219,1.899478125,0.526460393,1.111755775,0.06600036,0.139376641,0.335007135
-268,1.323987551,0.755294111,3.086538347,-0.101722929,-0.415694652,-2.236384305
23,8.981430152,0.111340843,0.125290829,0.12784254,0.143860038,0.150810546
11.18,1.103077054,0.906554983,9.701480232,0.003577636,0.038286003,0.070807987
22,2.938233364,0.340340564,0.515933746,0.111730453,0.169375963,0.213953298
412.36,1.149337518,0.870066437,6.696240912,0.012853594,0.098924354,0.198846845
